"Simulations"	"MKT"	"eMKT 0.05"	"eMKT 0.25"	"fwwMKT 0.05"	"fwwMKT 0.25"	"impMKT 0.05"	"impMKT 0.25"	"aMKT"	"Grapes"
"base"	0.631	0.436	0.47	0.37	0.116	0.37	0.075	0.053	0.026
"2nes_neg_1000"	0.663	0.46	0.494	0.391	0.116	0.391	0.066	0.047	0.039
"2nes_neg_500"	0.696	0.491	0.524	0.422	0.141	0.422	0.076	0.053	0.028
"2nes_pos_100"	0.64	0.432	0.463	0.365	0.091	0.365	0.024	0.033	0.057
"2nes_pos_500"	0.582	0.387	0.441	0.322	0.118	0.322	0.063	0.033	0.055
"genes_1k"	0.616	0.405	0.448	0.338	0.105	0.338	0.048	0.118	0.026
"genes_28k"	0.606	0.431	0.46	0.37	0.13	0.37	0.105	0.089	0.015
"rho_0.0001"	0.6	0.422	0.45	0.356	0.096	0.356	0.048	0.024	0.035
"rho_0.01"	0.632	0.443	0.463	0.382	0.117	0.382	0.083	0.069	0.033
"shape_0.1"	0.131	0.1	0.106	0.087	0.033	0.087	0.017	0.001	0.032
"shape_0.2"	0.322	0.233	0.246	0.202	0.065	0.202	0.019	0.013	0.033
"theta_0.0001"	0.603	0.406	0.436	0.349	0.107	0.349	0.05	0.148	0.02
"theta_0.01"	0.59	0.401	0.472	0.306	0.058	0.306	0.024	0.032	0.099
