simulation	std	emkt1	emkt2	emkt3	emkt4	fww1	fww2	fww3	fww4	imp1	imp2	imp3	imp4	asymp1	asymp2	grapes	trueAlpha
2nes_neg_1000	-0.347	-0.144	-0.139	-0.211	-0.211	-0.075	0.131	0.200	0.243	-0.075	0.131	0.200	0.243	0.268	0.278	0.355	0.316
2nes_neg_500	-0.428	-0.224	-0.213	-0.290	-0.290	-0.155	0.068	0.126	0.166	-0.155	0.068	0.126	0.166	0.215	0.239	0.295	0.268
2nes_pos_100	-0.275	-0.066	-0.057	-0.131	-0.131	0.001	0.211	0.275	0.317	0.001	0.211	0.275	0.317	0.333	0.341	0.422	0.366
2nes_pos_500	-0.217	-0.021	-0.025	-0.103	-0.103	0.044	0.222	0.248	0.284	0.044	0.222	0.248	0.284	0.333	0.362	0.421	0.366
alpha_0.1	-0.746	-0.494	-0.476	-0.571	-0.571	-0.414	-0.142	-0.082	-0.029	-0.414	-0.142	-0.082	-0.029	-0.008	0.035	0.127	0.116
alpha_0.25	-0.357	-0.153	-0.144	-0.223	-0.223	-0.086	0.121	0.182	0.209	-0.086	0.121	0.182	0.209	0.314	0.308	0.339	0.284
alpha_0.7	0.432	0.516	0.514	0.484	0.484	0.548	0.633	0.662	0.677	0.548	0.633	0.662	0.677	0.704	0.715	0.726	0.691
base	-0.273	-0.077	-0.080	-0.144	-0.144	-0.012	0.170	0.242	0.276	-0.012	0.170	0.242	0.276	0.305	0.333	0.385	0.358
base_weakly	-0.187	-0.013	-0.010	-0.070	-0.070	0.041	0.204	0.254	0.292	0.041	0.204	0.254	0.292	0.314	0.324	0.422	0.405
base_weakly_bgs	-0.671	-0.426	-0.412	-0.504	-0.504	-0.338	-0.094	-0.029	0.012	-0.338	-0.094	-0.029	0.012	0.047	0.098	0.279	0.158
genes_1k	-0.223	-0.012	-0.026	-0.089	-0.089	0.055	0.212	0.288	0.306	0.055	0.212	0.288	0.306	0.509	0.539	0.419	0.393
genes_28k	-0.253	-0.078	-0.064	-0.139	-0.139	-0.017	0.182	0.223	0.249	-0.017	0.182	0.223	0.249	0.264	0.280	0.368	0.353
rho_0.0001	-0.256	-0.078	-0.069	-0.138	-0.138	-0.013	0.185	0.248	0.281	-0.013	0.185	0.248	0.281	0.368	0.362	0.379	0.344
rho_0.01	-0.266	-0.077	-0.055	-0.132	-0.132	-0.016	0.194	0.249	0.278	-0.016	0.194	0.249	0.278	0.297	0.303	0.399	0.366
shape_0.1	0.263	0.293	0.293	0.283	0.283	0.306	0.343	0.360	0.371	0.306	0.343	0.360	0.371	0.394	0.399	0.426	0.393
shape_0.2	0.057	0.147	0.155	0.121	0.121	0.178	0.287	0.315	0.341	0.178	0.287	0.315	0.341	0.367	0.381	0.412	0.380
theta_0.0001	-0.227	-0.029	-0.010	-0.098	-0.098	0.027	0.235	0.269	0.297	0.027	0.235	0.269	0.297	0.525	0.438	0.397	0.377
theta_0.01	-0.308	-0.119	-0.151	-0.218	-0.218	-0.024	0.172	0.224	0.250	-0.024	0.172	0.224	0.250	0.250	0.259	0.381	0.282
